instance;scenario;node;xcoor;ycoor;service;early;late
C101S10;2;62;50.00;35.00;5.00;168.00;228.00
C101S10;2;64;48.00;30.00;5.00;77.00;137.00
C101S10;2;68;45.00;30.00;5.00;122.00;182.00
C101S10;2;75;45.00;65.00;5.00;173.00;233.00
C101S10;2;77;88.00;30.00;5.00;76.00;136.00
C101S10;2;88;65.00;60.00;5.00;77.00;137.00
C101S10;2;95;62.00;80.00;5.00;16.00;76.00
C101S10;3;2;45.00;70.00;5.00;140.00;200.00
C101S10;3;5;42.00;65.00;5.00;11.00;71.00
C101S10;3;12;25.00;85.00;5.00;95.00;155.00
C101S10;3;21;30.00;52.00;5.00;163.00;223.00
C101S10;3;22;28.00;52.00;5.00;148.00;208.00
C101S10;3;26;25.00;55.00;5.00;103.00;163.00
C101S10;3;37;2.00;40.00;5.00;47.00;107.00
C101S10;3;45;30.00;30.00;5.00;78.00;138.00
C101S10;3;47;30.00;35.00;5.00;70.00;130.00
C101S10;3;61;50.00;30.00;5.00;43.00;103.00
C101S10;3;72;53.00;30.00;5.00;10.00;70.00
C101S10;3;73;92.00;30.00;5.00;174.00;234.00
C101S10;3;87;65.00;55.00;5.00;133.00;193.00
C101S10;3;90;60.00;55.00;5.00;144.00;204.00
C101S10;3;92;67.00;85.00;5.00;141.00;201.00
C101S10;3;93;65.00;85.00;5.00;135.00;195.00
C101S10;3;99;55.00;80.00;5.00;72.00;132.00
C101S10;4;1;45.00;68.00;5.00;31.00;91.00
C101S10;4;3;42.00;66.00;5.00;14.00;74.00
C101S10;4;4;42.00;68.00;5.00;173.00;233.00
C101S10;4;11;35.00;69.00;5.00;85.00;145.00
C101S10;4;15;20.00;80.00;5.00;97.00;157.00
C101S10;4;27;23.00;52.00;5.00;21.00;81.00
C101S10;4;34;8.00;45.00;5.00;18.00;78.00
C101S10;4;44;32.00;30.00;5.00;102.00;162.00
C101S10;4;50;26.00;32.00;5.00;75.00;135.00
C101S10;4;53;44.00;5.00;5.00;140.00;200.00
C101S10;4;87;65.00;55.00;5.00;32.00;92.00
C101S10;4;91;60.00;60.00;5.00;127.00;187.00
C101S10;4;95;62.00;80.00;5.00;105.00;165.00
C101S10;5;3;42.00;66.00;5.00;171.00;231.00
C101S10;5;4;42.00;68.00;5.00;104.00;164.00
C101S10;5;27;23.00;52.00;5.00;42.00;102.00
C101S10;5;28;23.00;55.00;5.00;90.00;150.00
C101S10;5;30;20.00;55.00;5.00;43.00;103.00
C101S10;5;31;10.00;35.00;5.00;63.00;123.00
C101S10;5;35;5.00;35.00;5.00;154.00;214.00
C101S10;5;50;26.00;32.00;5.00;22.00;82.00
C101S10;5;58;38.00;5.00;5.00;13.00;73.00
C101S10;5;69;45.00;35.00;5.00;142.00;202.00
C101S10;5;70;95.00;30.00;5.00;165.00;225.00
C101S10;5;75;45.00;65.00;5.00;17.00;77.00
C101S10;5;76;90.00;35.00;5.00;162.00;222.00
C101S10;5;93;65.00;85.00;5.00;81.00;141.00
C101S10;6;6;40.00;69.00;5.00;175.00;235.00
C101S10;6;12;25.00;85.00;5.00;90.00;150.00
C101S10;6;14;22.00;85.00;5.00;56.00;116.00
C101S10;6;17;18.00;75.00;5.00;161.00;221.00
C101S10;6;22;28.00;52.00;5.00;176.00;236.00
C101S10;6;28;23.00;55.00;5.00;119.00;179.00
C101S10;6;42;33.00;32.00;5.00;163.00;223.00
C101S10;6;56;40.00;5.00;5.00;77.00;137.00
C101S10;6;64;48.00;30.00;5.00;130.00;190.00
C101S10;6;74;53.00;35.00;5.00;49.00;109.00
C101S10;6;76;90.00;35.00;5.00;41.00;101.00
C101S10;6;80;85.00;25.00;5.00;43.00;103.00
C101S10;6;89;63.00;58.00;5.00;25.00;85.00
C101S10;6;97;60.00;85.00;5.00;167.00;227.00
C101S10;6;99;55.00;80.00;5.00;54.00;114.00
C101S10;7;13;22.00;75.00;5.00;167.00;227.00
C101S10;7;15;20.00;80.00;5.00;74.00;134.00
C101S10;7;18;15.00;75.00;5.00;168.00;228.00
C101S10;7;19;15.00;80.00;5.00;35.00;95.00
C101S10;7;26;25.00;55.00;5.00;118.00;178.00
C101S10;7;32;10.00;40.00;5.00;14.00;74.00
C101S10;7;45;30.00;30.00;5.00;135.00;195.00
C101S10;7;47;30.00;35.00;5.00;81.00;141.00
C101S10;7;48;28.00;30.00;5.00;61.00;121.00
C101S10;7;58;38.00;5.00;5.00;52.00;112.00
C101S10;7;65;48.00;40.00;5.00;49.00;109.00
C101S10;7;75;45.00;65.00;5.00;36.00;96.00
C101S10;7;89;63.00;58.00;5.00;54.00;114.00
C101S10;7;90;60.00;55.00;5.00;88.00;148.00
C101S10;7;92;67.00;85.00;5.00;132.00;192.00
C101S10;7;100;55.00;85.00;5.00;118.00;178.00
C101S10;8;17;18.00;75.00;5.00;28.00;88.00
C101S10;8;32;10.00;40.00;5.00;173.00;233.00
C101S10;8;37;2.00;40.00;5.00;69.00;129.00
C101S10;8;38;0.00;40.00;5.00;65.00;125.00
C101S10;8;44;32.00;30.00;5.00;21.00;81.00
C101S10;8;46;30.00;32.00;5.00;33.00;93.00
C101S10;8;47;30.00;35.00;5.00;29.00;89.00
C101S10;8;57;40.00;15.00;5.00;109.00;169.00
C101S10;8;60;35.00;5.00;5.00;177.00;237.00
C101S10;8;65;48.00;40.00;5.00;132.00;192.00
C101S10;8;68;45.00;30.00;5.00;87.00;147.00
C101S10;8;69;45.00;35.00;5.00;178.00;238.00
C101S10;8;77;88.00;30.00;5.00;92.00;152.00
C101S10;8;86;66.00;55.00;5.00;176.00;236.00
C101S10;8;90;60.00;55.00;5.00;129.00;189.00
C101S10;9;1;45.00;68.00;5.00;110.00;170.00
C101S10;9;3;42.00;66.00;5.00;172.00;232.00
C101S10;9;30;20.00;55.00;5.00;109.00;169.00
C101S10;9;38;0.00;40.00;5.00;166.00;226.00
C101S10;9;40;35.00;30.00;5.00;167.00;227.00
C101S10;9;50;26.00;32.00;5.00;47.00;107.00
C101S10;9;61;50.00;30.00;5.00;19.00;79.00
C101S10;9;80;85.00;25.00;5.00;126.00;186.00
C101S10;9;90;60.00;55.00;5.00;46.00;106.00
C101S10;9;92;67.00;85.00;5.00;164.00;224.00
C101S10;9;99;55.00;80.00;5.00;126.00;186.00
C101S15;0;13;22.00;75.00;5.00;83.00;143.00
C101S15;0;20;30.00;50.00;5.00;132.00;192.00
C101S15;0;28;23.00;55.00;5.00;165.00;225.00
C101S15;0;31;10.00;35.00;5.00;49.00;109.00
C101S15;0;35;5.00;35.00;5.00;43.00;103.00
C101S15;0;39;0.00;45.00;5.00;73.00;133.00
C101S15;0;53;44.00;5.00;5.00;107.00;167.00
C101S15;0;55;42.00;15.00;5.00;168.00;228.00
C101S15;0;64;48.00;30.00;5.00;95.00;155.00
C101S15;0;66;47.00;35.00;5.00;178.00;238.00
C101S15;0;75;45.00;65.00;5.00;176.00;236.00
C101S15;1;5;42.00;65.00;5.00;175.00;235.00
C101S15;1;12;25.00;85.00;5.00;115.00;175.00
C101S15;1;28;23.00;55.00;5.00;31.00;91.00
C101S15;1;31;10.00;35.00;5.00;122.00;182.00
C101S15;1;34;8.00;45.00;5.00;35.00;95.00
C101S15;1;46;30.00;32.00;5.00;64.00;124.00
C101S15;1;66;47.00;35.00;5.00;40.00;100.00
C101S15;1;85;68.00;60.00;5.00;28.00;88.00
C101S15;1;90;60.00;55.00;5.00;74.00;134.00
C101S15;2;9;38.00;70.00;5.00;30.00;90.00
C101S15;2;14;22.00;85.00;5.00;24.00;84.00
C101S15;2;43;33.00;35.00;5.00;146.00;206.00
C101S15;2;49;28.00;35.00;5.00;121.00;181.00
C101S15;2;54;42.00;10.00;5.00;54.00;114.00
C101S15;2;67;47.00;40.00;5.00;13.00;73.00
C101S15;2;75;45.00;65.00;5.00;156.00;216.00
C101S15;2;78;88.00;35.00;5.00;102.00;162.00
C101S15;2;87;65.00;55.00;5.00;57.00;117.00
C101S15;2;92;67.00;85.00;5.00;129.00;189.00
C101S15;2;100;55.00;85.00;5.00;28.00;88.00
C101S15;3;5;42.00;65.00;5.00;159.00;219.00
C101S15;3;8;38.00;68.00;5.00;73.00;133.00
C101S15;3;20;30.00;50.00;5.00;149.00;209.00
C101S15;3;21;30.00;52.00;5.00;147.00;207.00
C101S15;3;37;2.00;40.00;5.00;32.00;92.00
C101S15;3;43;33.00;35.00;5.00;171.00;231.00
C101S15;3;54;42.00;10.00;5.00;93.00;153.00
C101S15;3;61;50.00;30.00;5.00;32.00;92.00
C101S15;3;70;95.00;30.00;5.00;43.00;103.00
C101S15;3;75;45.00;65.00;5.00;14.00;74.00
C101S15;3;80;85.00;25.00;5.00;102.00;162.00
C101S15;4;20;30.00;50.00;5.00;57.00;117.00
C101S15;4;42;33.00;32.00;5.00;46.00;106.00
C101S15;4;49;28.00;35.00;5.00;13.00;73.00
C101S15;4;51;25.00;30.00;5.00;32.00;92.00
C101S15;4;57;40.00;15.00;5.00;178.00;238.00
C101S15;4;61;50.00;30.00;5.00;89.00;149.00
C101S15;4;64;48.00;30.00;5.00;33.00;93.00
C101S15;4;70;95.00;30.00;5.00;66.00;126.00
C101S15;4;81;85.00;35.00;5.00;78.00;138.00
C101S15;4;90;60.00;55.00;5.00;42.00;102.00
C101S15;5;17;18.00;75.00;5.00;71.00;131.00
C101S15;5;28;23.00;55.00;5.00;119.00;179.00
C101S15;5;32;10.00;40.00;5.00;140.00;200.00
C101S15;5;34;8.00;45.00;5.00;150.00;210.00
C101S15;5;39;0.00;45.00;5.00;23.00;83.00
C101S15;5;41;35.00;32.00;5.00;119.00;179.00
C101S15;5;61;50.00;30.00;5.00;89.00;149.00
C101S15;5;65;48.00;40.00;5.00;76.00;136.00
C101S15;5;76;90.00;35.00;5.00;32.00;92.00
C101S15;5;77;88.00;30.00;5.00;12.00;72.00
C101S15;5;83;72.00;55.00;5.00;128.00;188.00
C101S15;5;97;60.00;85.00;5.00;67.00;127.00
C101S15;6;6;40.00;69.00;5.00;19.00;79.00
C101S15;6;9;38.00;70.00;5.00;133.00;193.00
C101S15;6;15;20.00;80.00;5.00;158.00;218.00
C101S15;6;23;28.00;55.00;5.00;136.00;196.00
C101S15;6;41;35.00;32.00;5.00;143.00;203.00
C101S15;6;50;26.00;32.00;5.00;101.00;161.00
C101S15;6;54;42.00;10.00;5.00;108.00;168.00
C101S15;6;82;75.00;55.00;5.00;145.00;205.00
C101S15;7;3;42.00;66.00;5.00;102.00;162.00
C101S15;7;27;23.00;52.00;5.00;159.00;219.00
C101S15;7;28;23.00;55.00;5.00;28.00;88.00
C101S15;7;39;0.00;45.00;5.00;149.00;209.00
C101S15;7;40;35.00;30.00;5.00;57.00;117.00
C101S15;7;76;90.00;35.00;5.00;62.00;122.00
C101S15;7;84;70.00;58.00;5.00;23.00;83.00
C101S15;7;87;65.00;55.00;5.00;26.00;86.00
C101S15;7;89;63.00;58.00;5.00;101.00;161.00
C101S15;7;93;65.00;85.00;5.00;46.00;106.00
C101S15;7;95;62.00;80.00;5.00;156.00;216.00
C101S15;7;100;55.00;85.00;5.00;40.00;100.00
C101S15;8;38;0.00;40.00;5.00;135.00;195.00
C101S15;8;50;26.00;32.00;5.00;35.00;95.00
C101S15;8;62;50.00;35.00;5.00;57.00;117.00
C101S15;8;65;48.00;40.00;5.00;170.00;230.00
C101S15;8;71;95.00;35.00;5.00;86.00;146.00
C101S15;8;74;53.00;35.00;5.00;128.00;188.00
C101S15;8;76;90.00;35.00;5.00;77.00;137.00
C101S15;8;83;72.00;55.00;5.00;120.00;180.00
C101S15;8;87;65.00;55.00;5.00;92.00;152.00
C101S15;9;5;42.00;65.00;5.00;131.00;191.00
C101S15;9;31;10.00;35.00;5.00;74.00;134.00
C101S15;9;42;33.00;32.00;5.00;131.00;191.00
C101S15;9;44;32.00;30.00;5.00;96.00;156.00
C101S15;9;45;30.00;30.00;5.00;153.00;213.00
C101S15;9;56;40.00;5.00;5.00;85.00;145.00
C101S15;9;65;48.00;40.00;5.00;35.00;95.00
C101S15;9;66;47.00;35.00;5.00;102.00;162.00
C101S15;9;79;87.00;30.00;5.00;99.00;159.00
C101S15;9;88;65.00;60.00;5.00;133.00;193.00
C101S15;9;89;63.00;58.00;5.00;117.00;177.00
C101S20;0;8;38.00;68.00;5.00;92.00;152.00
C101S20;0;26;25.00;55.00;5.00;173.00;233.00
C101S20;0;44;32.00;30.00;5.00;133.00;193.00
C101S20;0;61;50.00;30.00;5.00;136.00;196.00
C101S20;0;93;65.00;85.00;5.00;52.00;112.00
C101S20;0;95;62.00;80.00;5.00;47.00;107.00
C101S20;1;1;45.00;68.00;5.00;62.00;122.00
C101S20;1;5;42.00;65.00;5.00;50.00;110.00
C101S20;1;10;35.00;66.00;5.00;72.00;132.00
C101S20;1;29;20.00;50.00;5.00;111.00;171.00
C101S20;1;43;33.00;35.00;5.00;37.00;97.00
C101S20;1;82;75.00;55.00;5.00;34.00;94.00
C101S20;1;86;66.00;55.00;5.00;23.00;83.00
C101S20;1;92;67.00;85.00;5.00;93.00;153.00
C101S20;2;8;38.00;68.00;5.00;51.00;111.00
C101S20;2;11;35.00;69.00;5.00;31.00;91.00
C101S20;2;33;8.00;40.00;5.00;58.00;118.00
C101S20;2;38;0.00;40.00;5.00;69.00;129.00
C101S20;2;58;38.00;5.00;5.00;141.00;201.00
C101S20;2;66;47.00;35.00;5.00;95.00;155.00
C101S20;2;73;92.00;30.00;5.00;117.00;177.00
C101S20;2;87;65.00;55.00;5.00;54.00;114.00
C101S20;2;90;60.00;55.00;5.00;58.00;118.00
C101S20;3;14;22.00;85.00;5.00;165.00;225.00
C101S20;3;27;23.00;52.00;5.00;98.00;158.00
C101S20;3;35;5.00;35.00;5.00;122.00;182.00
C101S20;3;44;32.00;30.00;5.00;28.00;88.00
C101S20;3;71;95.00;35.00;5.00;75.00;135.00
C101S20;3;76;90.00;35.00;5.00;175.00;235.00
C101S20;4;11;35.00;69.00;5.00;30.00;90.00
C101S20;4;57;40.00;15.00;5.00;53.00;113.00
C101S20;4;58;38.00;5.00;5.00;176.00;236.00
C101S20;4;63;50.00;40.00;5.00;40.00;100.00
C101S20;4;82;75.00;55.00;5.00;98.00;158.00
C101S20;4;90;60.00;55.00;5.00;89.00;149.00
C101S20;4;99;55.00;80.00;5.00;147.00;207.00
C101S20;5;10;35.00;66.00;5.00;86.00;146.00
C101S20;5;15;20.00;80.00;5.00;45.00;105.00
C101S20;5;58;38.00;5.00;5.00;131.00;191.00
C101S20;5;76;90.00;35.00;5.00;50.00;110.00
C101S20;5;84;70.00;58.00;5.00;127.00;187.00
C101S20;5;86;66.00;55.00;5.00;133.00;193.00
C101S20;5;99;55.00;80.00;5.00;170.00;230.00
C101S20;6;11;35.00;69.00;5.00;163.00;223.00
C101S20;6;33;8.00;40.00;5.00;27.00;87.00
C101S20;6;58;38.00;5.00;5.00;72.00;132.00
C101S20;6;61;50.00;30.00;5.00;10.00;70.00
C101S20;6;95;62.00;80.00;5.00;130.00;190.00
C101S20;7;17;18.00;75.00;5.00;152.00;212.00
C101S20;7;27;23.00;52.00;5.00;102.00;162.00
C101S20;7;61;50.00;30.00;5.00;10.00;70.00
C101S20;7;81;85.00;35.00;5.00;15.00;75.00
C101S20;7;83;72.00;55.00;5.00;170.00;230.00
C101S20;7;93;65.00;85.00;5.00;119.00;179.00
C101S20;8;6;40.00;69.00;5.00;104.00;164.00
C101S20;8;10;35.00;66.00;5.00;63.00;123.00
C101S20;8;67;47.00;40.00;5.00;155.00;215.00
C101S20;8;81;85.00;35.00;5.00;174.00;234.00
C101S20;8;84;70.00;58.00;5.00;158.00;218.00
C101S20;8;93;65.00;85.00;5.00;27.00;87.00
C101S20;9;9;38.00;70.00;5.00;171.00;231.00
C101S20;9;14;22.00;85.00;5.00;28.00;88.00
C101S20;9;35;5.00;35.00;5.00;156.00;216.00
C101S20;9;39;0.00;45.00;5.00;98.00;158.00
C101S20;9;43;33.00;35.00;5.00;43.00;103.00
C101S20;9;65;48.00;40.00;5.00;21.00;81.00
C101S20;9;93;65.00;85.00;5.00;64.00;124.00
C101S20;9;96;60.00;80.00;5.00;171.00;231.00
C102S10;0;2;45.00;70.00;5.00;91.00;151.00
C102S10;0;8;38.00;68.00;5.00;34.00;94.00
C102S10;0;10;35.00;66.00;5.00;179.00;239.00
C102S10;0;12;25.00;85.00;5.00;76.00;136.00
C102S10;0;15;20.00;80.00;5.00;147.00;207.00
C102S10;0;29;20.00;50.00;5.00;150.00;210.00
C102S10;0;39;0.00;45.00;5.00;40.00;100.00
C102S10;0;48;28.00;30.00;5.00;145.00;205.00
C102S10;0;69;45.00;35.00;5.00;108.00;168.00
C102S10;0;77;88.00;30.00;5.00;93.00;153.00
C102S10;0;78;88.00;35.00;5.00;78.00;138.00
C102S10;0;96;60.00;80.00;5.00;26.00;86.00
C102S10;0;100;55.00;85.00;5.00;106.00;166.00
C102S10;1;10;35.00;66.00;5.00;15.00;75.00
C102S10;1;11;35.00;69.00;5.00;133.00;193.00
C102S10;1;14;22.00;85.00;5.00;151.00;211.00
C102S10;1;20;30.00;50.00;5.00;74.00;134.00
C102S10;1;21;30.00;52.00;5.00;115.00;175.00
C102S10;1;26;25.00;55.00;5.00;100.00;160.00
C102S10;1;32;10.00;40.00;5.00;172.00;232.00
C102S10;1;35;5.00;35.00;5.00;43.00;103.00
C102S10;1;40;35.00;30.00;5.00;69.00;129.00
C102S10;1;50;26.00;32.00;5.00;57.00;117.00
C102S10;1;57;40.00;15.00;5.00;132.00;192.00
C102S10;1;65;48.00;40.00;5.00;52.00;112.00
C102S10;1;68;45.00;30.00;5.00;33.00;93.00
C102S10;1;75;45.00;65.00;5.00;45.00;105.00
C102S10;1;80;85.00;25.00;5.00;85.00;145.00
C102S10;1;100;55.00;85.00;5.00;95.00;155.00
C102S10;2;5;42.00;65.00;5.00;22.00;82.00
C102S10;2;9;38.00;70.00;5.00;59.00;119.00
C102S10;2;26;25.00;55.00;5.00;58.00;118.00
C102S10;2;31;10.00;35.00;5.00;141.00;201.00
C102S10;2;38;0.00;40.00;5.00;153.00;213.00
C102S10;2;50;26.00;32.00;5.00;123.00;183.00
C102S10;2;58;38.00;5.00;5.00;18.00;78.00
C102S10;2;59;38.00;15.00;5.00;179.00;239.00
C102S10;2;69;45.00;35.00;5.00;65.00;125.00
C102S10;2;80;85.00;25.00;5.00;123.00;183.00
C102S10;2;97;60.00;85.00;5.00;42.00;102.00
C102S10;3;15;20.00;80.00;5.00;142.00;202.00
C102S10;3;16;20.00;85.00;5.00;21.00;81.00
C102S10;3;20;30.00;50.00;5.00;90.00;150.00
C102S10;3;24;25.00;50.00;5.00;39.00;99.00
C102S10;3;25;25.00;52.00;5.00;176.00;236.00
C102S10;3;29;20.00;50.00;5.00;93.00;153.00
C102S10;3;53;44.00;5.00;5.00;94.00;154.00
C102S10;3;54;42.00;10.00;5.00;56.00;116.00
C102S10;3;57;40.00;15.00;5.00;153.00;213.00
C102S10;3;83;72.00;55.00;5.00;114.00;174.00
C102S10;3;86;66.00;55.00;5.00;156.00;216.00
C102S10;3;89;63.00;58.00;5.00;21.00;81.00
C102S10;3;99;55.00;80.00;5.00;85.00;145.00
C102S10;4;10;35.00;66.00;5.00;179.00;239.00
C102S10;4;11;35.00;69.00;5.00;117.00;177.00
C102S10;4;13;22.00;75.00;5.00;40.00;100.00
C102S10;4;16;20.00;85.00;5.00;51.00;111.00
C102S10;4;24;25.00;50.00;5.00;13.00;73.00
C102S10;4;25;25.00;52.00;5.00;77.00;137.00
C102S10;4;40;35.00;30.00;5.00;23.00;83.00
C102S10;4;50;26.00;32.00;5.00;123.00;183.00
C102S10;4;52;25.00;35.00;5.00;150.00;210.00
C102S10;4;57;40.00;15.00;5.00;39.00;99.00
C102S10;4;60;35.00;5.00;5.00;107.00;167.00
C102S10;4;66;47.00;35.00;5.00;58.00;118.00
C102S10;4;90;60.00;55.00;5.00;151.00;211.00
C102S10;5;14;22.00;85.00;5.00;141.00;201.00
C102S10;5;20;30.00;50.00;5.00;82.00;142.00
C102S10;5;34;8.00;45.00;5.00;75.00;135.00
C102S10;5;47;30.00;35.00;5.00;50.00;110.00
C102S10;5;54;42.00;10.00;5.00;76.00;136.00
C102S10;5;82;75.00;55.00;5.00;167.00;227.00
C102S10;5;83;72.00;55.00;5.00;139.00;199.00
C102S10;5;85;68.00;60.00;5.00;44.00;104.00
C102S10;5;95;62.00;80.00;5.00;125.00;185.00
C102S10;5;96;60.00;80.00;5.00;144.00;204.00
C102S10;5;97;60.00;85.00;5.00;168.00;228.00
C102S10;6;2;45.00;70.00;5.00;124.00;184.00
C102S10;6;17;18.00;75.00;5.00;101.00;161.00
C102S10;6;22;28.00;52.00;5.00;142.00;202.00
C102S10;6;24;25.00;50.00;5.00;33.00;93.00
C102S10;6;27;23.00;52.00;5.00;145.00;205.00
C102S10;6;28;23.00;55.00;5.00;26.00;86.00
C102S10;6;36;5.00;45.00;5.00;165.00;225.00
C102S10;6;47;30.00;35.00;5.00;155.00;215.00
C102S10;6;60;35.00;5.00;5.00;132.00;192.00
C102S10;6;63;50.00;40.00;5.00;54.00;114.00
C102S10;6;80;85.00;25.00;5.00;10.00;70.00
C102S10;6;97;60.00;85.00;5.00;53.00;113.00
C102S10;6;100;55.00;85.00;5.00;144.00;204.00
C102S10;7;6;40.00;69.00;5.00;69.00;129.00
C102S10;7;15;20.00;80.00;5.00;109.00;169.00
C102S10;7;31;10.00;35.00;5.00;134.00;194.00
C102S10;7;34;8.00;45.00;5.00;149.00;209.00
C102S10;7;43;33.00;35.00;5.00;43.00;103.00
C102S10;7;52;25.00;35.00;5.00;117.00;177.00
C102S10;7;61;50.00;30.00;5.00;107.00;167.00
C102S10;7;69;45.00;35.00;5.00;73.00;133.00
C102S10;7;72;53.00;30.00;5.00;107.00;167.00
C102S10;7;79;87.00;30.00;5.00;19.00;79.00
C102S10;7;98;58.00;75.00;5.00;68.00;128.00
C102S10;7;99;55.00;80.00;5.00;83.00;143.00
C102S10;8;1;45.00;68.00;5.00;77.00;137.00
C102S10;8;5;42.00;65.00;5.00;95.00;155.00
C102S10;8;15;20.00;80.00;5.00;26.00;86.00
C102S10;8;25;25.00;52.00;5.00;100.00;160.00
C102S10;8;58;38.00;5.00;5.00;109.00;169.00
C102S10;8;59;38.00;15.00;5.00;142.00;202.00
C102S10;8;67;47.00;40.00;5.00;171.00;231.00
C102S10;8;68;45.00;30.00;5.00;98.00;158.00
C102S10;8;70;95.00;30.00;5.00;48.00;108.00
C102S10;8;78;88.00;35.00;5.00;89.00;149.00
C102S10;8;96;60.00;80.00;5.00;92.00;152.00
C102S10;8;98;58.00;75.00;5.00;72.00;132.00
C102S10;8;99;55.00;80.00;5.00;130.00;190.00
C102S10;9;11;35.00;69.00;5.00;56.00;116.00
C102S10;9;36;5.00;45.00;5.00;31.00;91.00
C102S10;9;40;35.00;30.00;5.00;128.00;188.00
C102S10;9;45;30.00;30.00;5.00;14.00;74.00
C102S10;9;48;28.00;30.00;5.00;28.00;88.00
C102S10;9;50;26.00;32.00;5.00;78.00;138.00
C102S10;9;53;44.00;5.00;5.00;20.00;80.00
C102S10;9;61;50.00;30.00;5.00;107.00;167.00
C102S10;9;65;48.00;40.00;5.00;48.00;108.00
C102S10;9;78;88.00;35.00;5.00;171.00;231.00
C102S10;9;80;85.00;25.00;5.00;81.00;141.00
C102S10;9;95;62.00;80.00;5.00;151.00;211.00
C102S10;9;96;60.00;80.00;5.00;158.00;218.00
C102S10;9;97;60.00;85.00;5.00;100.00;160.00
C102S10;9;100;55.00;85.00;5.00;26.00;86.00
C102S15;0;2;45.00;70.00;5.00;74.00;134.00
C102S15;0;4;42.00;68.00;5.00;103.00;163.00
C102S15;0;36;5.00;45.00;5.00;34.00;94.00
C102S15;0;42;33.00;32.00;5.00;87.00;147.00
C102S15;0;53;44.00;5.00;5.00;166.00;226.00
C102S15;0;56;40.00;5.00;5.00;169.00;229.00
C102S15;0;57;40.00;15.00;5.00;128.00;188.00
C102S15;0;62;50.00;35.00;5.00;108.00;168.00
C102S15;0;67;47.00;40.00;5.00;54.00;114.00
C102S15;0;77;88.00;30.00;5.00;143.00;203.00
C102S15;0;84;70.00;58.00;5.00;114.00;174.00
C102S15;0;89;63.00;58.00;5.00;67.00;127.00
C102S15;1;33;8.00;40.00;5.00;41.00;101.00
C102S15;1;43;33.00;35.00;5.00;130.00;190.00
C102S15;1;55;42.00;15.00;5.00;29.00;89.00
C102S15;1;58;38.00;5.00;5.00;116.00;176.00
C102S15;1;71;95.00;35.00;5.00;80.00;140.00
C102S15;1;80;85.00;25.00;5.00;136.00;196.00
C102S15;1;92;67.00;85.00;5.00;10.00;70.00
C102S15;1;98;58.00;75.00;5.00;126.00;186.00
C102S15;2;23;28.00;55.00;5.00;141.00;201.00
C102S15;2;56;40.00;5.00;5.00;59.00;119.00
C102S15;2;58;38.00;5.00;5.00;48.00;108.00
C102S15;2;68;45.00;30.00;5.00;61.00;121.00
C102S15;2;74;53.00;35.00;5.00;18.00;78.00
C102S15;2;93;65.00;85.00;5.00;101.00;161.00
C102S15;2;96;60.00;80.00;5.00;165.00;225.00
C102S15;2;100;55.00;85.00;5.00;104.00;164.00
C102S15;3;4;42.00;68.00;5.00;83.00;143.00
C102S15;3;20;30.00;50.00;5.00;108.00;168.00
C102S15;3;28;23.00;55.00;5.00;143.00;203.00
C102S15;3;33;8.00;40.00;5.00;61.00;121.00
C102S15;3;44;32.00;30.00;5.00;59.00;119.00
C102S15;3;80;85.00;25.00;5.00;170.00;230.00
C102S15;3;96;60.00;80.00;5.00;111.00;171.00
C102S15;3;97;60.00;85.00;5.00;140.00;200.00
C102S15;3;98;58.00;75.00;5.00;24.00;84.00
